/home/amit/muse/output/afh_download/schemas/COMPLEXREACHABILITY/afh_download
In file: ApplicationTest.java
Input operator: COMPLEXREACHABILITY
leak-167: SwipeDismissTouchListener.onTouch
leak-168: SwipeDismissTouchListener.onTouch
leak-169: SwipeDismissTouchListener.onTouch
leak-170: SwipeDismissTouchListener.onTouch
leak-171: SwipeDismissTouchListener.performDismiss
leak-172: 1.onAnimationEnd
leak-173: 1.onAnimationUpdate
In file: AfterPermissionGranted.java
Input operator: COMPLEXREACHABILITY
In file: EasyPermissions.java
Input operator: COMPLEXREACHABILITY
leak-174: EasyPermissions.hasPermissions
leak-175: EasyPermissions.hasPermissions
leak-176: EasyPermissions.hasPermissions
leak-177: EasyPermissions.requestPermissions
leak-178: EasyPermissions.requestPermissions
leak-179: EasyPermissions.requestPermissions
leak-180: EasyPermissions.requestPermissions
leak-181: 1.onClick
leak-182: 1.onClick
leak-183: EasyPermissions.requestPermissions
leak-184: EasyPermissions.onRequestPermissionsResult
leak-185: EasyPermissions.onRequestPermissionsResult
leak-186: EasyPermissions.onRequestPermissionsResult
leak-187: EasyPermissions.onRequestPermissionsResult
leak-188: EasyPermissions.onRequestPermissionsResult
leak-189: EasyPermissions.onRequestPermissionsResult
leak-190: EasyPermissions.onRequestPermissionsResult
leak-191: EasyPermissions.shouldShowRequestPermissionRationale
leak-192: EasyPermissions.shouldShowRequestPermissionRationale
leak-193: EasyPermissions.shouldShowRequestPermissionRationale
leak-194: EasyPermissions.shouldShowRequestPermissionRationale
leak-195: EasyPermissions.executePermissionsRequest
leak-196: EasyPermissions.executePermissionsRequest
leak-197: EasyPermissions.executePermissionsRequest
leak-198: EasyPermissions.getActivity
leak-199: EasyPermissions.getActivity
leak-200: EasyPermissions.getActivity
leak-201: EasyPermissions.getActivity
leak-202: EasyPermissions.runAnnotatedMethods
leak-203: EasyPermissions.runAnnotatedMethods
leak-204: EasyPermissions.runAnnotatedMethods
leak-205: EasyPermissions.runAnnotatedMethods
leak-206: EasyPermissions.runAnnotatedMethods
leak-207: EasyPermissions.runAnnotatedMethods
leak-208: EasyPermissions.runAnnotatedMethods
leak-209: EasyPermissions.runAnnotatedMethods
leak-210: EasyPermissions.runAnnotatedMethods
leak-211: EasyPermissions.checkCallingObjectSuitability
leak-212: EasyPermissions.checkCallingObjectSuitability
leak-213: EasyPermissions.checkCallingObjectSuitability
In file: MD5.java
Input operator: COMPLEXREACHABILITY
leak-214: MD5.checkMD5
leak-215: MD5.checkMD5
leak-216: MD5.checkMD5
leak-217: MD5.calculateMD5
leak-218: MD5.calculateMD5
leak-219: MD5.calculateMD5
leak-220: MD5.calculateMD5
leak-221: MD5.calculateMD5
leak-222: MD5.calculateMD5
leak-223: MD5.calculateMD5
leak-224: MD5.calculateMD5
leak-225: MD5.calculateMD5
leak-226: MD5.calculateMD5
leak-227: MD5.calculateMD5
In file: SwipeDismissListViewTouchListener.java
Input operator: COMPLEXREACHABILITY
leak-228: SwipeDismissListViewTouchListener.SwipeDismissListViewTouchListener
leak-229: SwipeDismissListViewTouchListener.setEnabled
leak-230: SwipeDismissListViewTouchListener.makeScrollListener
leak-231: 1.onScrollStateChanged
leak-232: 1.onScroll
leak-233: SwipeDismissListViewTouchListener.onTouch
leak-234: SwipeDismissListViewTouchListener.onTouch
leak-235: SwipeDismissListViewTouchListener.onTouch
leak-236: SwipeDismissListViewTouchListener.onTouch
leak-237: SwipeDismissListViewTouchListener.onTouch
leak-238: SwipeDismissListViewTouchListener.onTouch
leak-239: SwipeDismissListViewTouchListener.onTouch
leak-240: SwipeDismissListViewTouchListener.onTouch
leak-241: SwipeDismissListViewTouchListener.onTouch
leak-242: SwipeDismissListViewTouchListener.onTouch
leak-243: SwipeDismissListViewTouchListener.onTouch
leak-244: SwipeDismissListViewTouchListener.onTouch
leak-245: SwipeDismissListViewTouchListener.onTouch
leak-246: SwipeDismissListViewTouchListener.onTouch
leak-247: SwipeDismissListViewTouchListener.onTouch
leak-248: SwipeDismissListViewTouchListener.onTouch
leak-249: SwipeDismissListViewTouchListener.onTouch
leak-250: SwipeDismissListViewTouchListener.onTouch
leak-251: 1.onAnimationEnd
leak-252: SwipeDismissListViewTouchListener.onTouch
leak-253: SwipeDismissListViewTouchListener.onTouch
leak-254: SwipeDismissListViewTouchListener.onTouch
leak-255: SwipeDismissListViewTouchListener.onTouch
leak-256: SwipeDismissListViewTouchListener.onTouch
leak-257: SwipeDismissListViewTouchListener.onTouch
leak-258: SwipeDismissListViewTouchListener.onTouch
leak-259: PendingDismissData.PendingDismissData
leak-260: PendingDismissData.compareTo
leak-261: SwipeDismissListViewTouchListener.performDismiss
leak-262: 1.onAnimationEnd
leak-263: 1.onAnimationEnd
leak-264: 1.onAnimationEnd
leak-265: 1.onAnimationEnd
leak-266: 1.onAnimationUpdate
In file: MyCustomAdapter.java
Input operator: COMPLEXREACHABILITY
leak-267: MyCustomAdapter.MyCustomAdapter
leak-268: MyCustomAdapter.getView
leak-269: MyCustomAdapter.getView
leak-270: MyCustomAdapter.getView
leak-271: MyCustomAdapter.getView
leak-272: MyCustomAdapter.getView
leak-273: MyCustomAdapter.getView
leak-274: MyCustomAdapter.getView
leak-275: MyCustomAdapter.getView
leak-276: MyCustomAdapter.getView
