/home/amit/muse/output/android-timetracker/schemas/COMPLEXREACHABILITY/android-timetracker
leak-187: Activities.onListItemClick
leak-188: Activities.onListItemClick
leak-189: Activities.onListItemClick
leak-190: Activities.onListItemClick
leak-191: Activities.onActivityResult
leak-192: Activities.onActivityResult
leak-193: Activities.onActivityResult
leak-194: Activities.onActivityResult
leak-195: Activities.onActivityResult
leak-196: Activities.onActivityResult
leak-197: Activities.onActivityResult
leak-198: Activities.onActivityResult
leak-199: Activities.onActivityResult
leak-200: Activities.onActivityResult
leak-201: Activities.onActivityResult
leak-202: Activities.onActivityResult
leak-203: Activities.finishedCopy
leak-204: Activities.finishedCopy
In file: Settings.java
Input operator: COMPLEXREACHABILITY
leak-205: Settings.onCreate
leak-206: Settings.onCreate
leak-207: Settings.onCreate
leak-208: Settings.onCreate
leak-209: Settings.addBooleanPreference
leak-210: Settings.updateFontPrefs
leak-211: Settings.onListItemClick
leak-212: Settings.onListItemClick
leak-213: Settings.onListItemClick
leak-214: Settings.onListItemClick
leak-215: Settings.onListItemClick
leak-216: Settings.onClick
leak-217: Settings.onClick
leak-218: Settings.onClick
leak-219: Settings.onClick
leak-220: Settings.onClick
leak-221: Settings.onClick
leak-222: Settings.<init>
leak-223: Settings.<init>
leak-224: Settings.onCreateDialog
leak-225: 1.onClick
leak-226: 1.onClick
In file: DBBackup.java
Input operator: COMPLEXREACHABILITY
leak-227: DBBackup.DBBackup
leak-228: DBBackup.doInBackground
leak-229: DBBackup.doInBackground
leak-230: DBBackup.doInBackground
leak-231: DBBackup.doInBackground
leak-232: DBBackup.doInBackground
leak-233: DBBackup.doInBackground
leak-234: DBBackup.onPostExecute
leak-235: DBBackup.onProgressUpdate
leak-236: DBBackup.onProgressUpdate
leak-237: DBBackup.onProgressUpdate
leak-238: DBBackup.onProgressUpdate
leak-239: DBBackup.onProgressUpdate
leak-240: DBBackup.onCancelled
leak-241: DBBackup.copyTimes
leak-242: DBBackup.copyTimes
leak-243: DBBackup.copyTimes
leak-244: DBBackup.copyTimes
leak-245: DBBackup.copyTimes
leak-246: DBBackup.copyTimes
leak-247: DBBackup.copyTimes
leak-248: DBBackup.copyTimes
leak-249: DBBackup.copyTimes
leak-250: DBBackup.copyTimes
leak-251: DBBackup.copyActivity
leak-252: DBBackup.copyActivity
leak-253: DBBackup.readActivities
leak-254: DBBackup.readActivities
leak-255: DBBackup.readActivities
In file: DBHelper.java
Input operator: COMPLEXREACHABILITY
leak-256: DBHelper.DBHelper
leak-257: DBHelper.onCreate
leak-258: DBHelper.onUpgrade
leak-259: DBHelper.onUpgrade
leak-260: DBHelper.onUpgrade
In file: CSVExporter.java
Input operator: COMPLEXREACHABILITY
leak-261: CSVExporter.escape
leak-262: CSVExporter.escape
leak-263: CSVExporter.escape
leak-264: CSVExporter.exportRows
leak-265: CSVExporter.exportRows
leak-266: CSVExporter.exportRows
leak-267: CSVExporter.exportRows
leak-268: CSVExporter.exportRows
leak-269: CSVExporter.exportRows
leak-270: CSVExporter.exportRows
leak-271: CSVExporter.exportRows
leak-272: CSVExporter.exportRows
leak-273: CSVExporter.exportRows
leak-274: CSVExporter.exportRows
leak-275: CSVExporter.exportRows
leak-276: CSVExporter.exportRows
In file: Activity.java
Input operator: COMPLEXREACHABILITY
leak-277: Activity.Activity
leak-278: Activity.getId
leak-279: Activity.getName
leak-280: Activity.setName
leak-281: Activity.getTotal
leak-282: Activity.getTotal
leak-283: Activity.setCollapsed
leak-284: Activity.getCollapsed
leak-285: Activity.start
leak-286: Activity.start
leak-287: Activity.stop
leak-288: Activity.stop
leak-289: Activity.getStartTime
leak-290: Activity.setStartTime
leak-291: Activity.getEndTime
leak-292: Activity.setEndTime
leak-293: Activity.hashCode
leak-294: Activity.equals
leak-295: Activity.equals
leak-296: Activity.equals
leak-297: Activity.equals
leak-298: Activity.compareTo
leak-299: Activity.isRunning
In file: Report.java
Input operator: COMPLEXREACHABILITY
leak-300: Report.Day
leak-301: Report.fromCalEnum
leak-302: Report.fromCalEnum
leak-303: Report.fromCalEnum
leak-304: Report.toString
leak-305: Report.calEnum
leak-306: Report.onCreate
leak-307: Report.onStop
leak-308: Report.onCreateOptionsMenu
leak-309: Report.onMenuItemSelected
leak-310: Report.onCreateDialog
leak-311: Report.requestExport
leak-312: Report.requestExport
leak-313: 1.onClick
leak-314: Report.requestExport
leak-315: Report.export
leak-316: Report.export
leak-317: Report.export
leak-318: Report.export
leak-319: Report.doExport
leak-320: Report.doExport
leak-321: Report.doExport
leak-322: Report.doExport
leak-323: Report.onRequestPermissionsResult
leak-324: Report.onRequestPermissionsResult
leak-325: Report.getCurrentRange
leak-326: Report.getCurrentRange
leak-327: Report.getCurrentRange
leak-328: Report.getCurrentRange
leak-329: Report.getCurrentRange
leak-330: Report.getCurrentRange
leak-331: Report.getCurrentRange
leak-332: Report.getCurrentRange
leak-333: Report.getCurrentRange
leak-334: Report.getCurrentRange
leak-335: Report.getRangeName
leak-336: Report.createTotals
leak-337: Report.createTotals
leak-338: Report.createTotals
leak-339: Report.createTotals
leak-340: Report.onResume
leak-341: Report.onPause
leak-342: Report.createHeader
leak-343: Report.createHeader
leak-344: Report.createHeader
leak-345: Report.createHeader
leak-346: Report.createReport
leak-347: Report.createReport
leak-348: Report.createReport
leak-349: Report.createReport
leak-350: Report.createReport
leak-351: Report.weekStart
leak-352: Report.weekEnd
leak-353: Report.onClick
leak-354: Report.fillInActivitiesAndRanges
leak-355: Report.fillInActivitiesAndRanges
leak-356: Report.fillInActivitiesAndRanges
leak-357: Report.fillInActivitiesAndRanges
leak-358: Report.fillInActivitiesAndRanges
leak-359: Report.getDays
leak-360: Report.getDays
leak-361: Report.getDays
leak-362: Report.getDays
leak-363: Report.getDays
leak-364: Report.getDays
leak-365: Report.getDays
In file: EditTime.java
Input operator: COMPLEXREACHABILITY
leak-366: EditTime.onCreate
leak-367: EditTime.onCreate
leak-368: EditTime.onCreate
leak-369: EditTime.onCreate
leak-370: EditTime.onResume
leak-371: EditTime.onResume
leak-372: EditTime.onResume
leak-373: EditTime.onResume
leak-374: EditTime.onResume
leak-375: EditTime.onClick
leak-376: EditTime.onClick
leak-377: EditTime.onClick
leak-378: EditTime.onCreateDialog
In file: ActivityTimes.java
Input operator: COMPLEXREACHABILITY
leak-379: ActivityTimes.onCreate
leak-380: ActivityTimes.onCreate
leak-381: ActivityTimes.onCreate
leak-382: ActivityTimes.onCreate
leak-383: ActivityTimes.onCreate
leak-384: ActivityTimes.onCreate
leak-385: ActivityTimes.onStop
leak-386: ActivityTimes.onResume
leak-387: ActivityTimes.onCreateOptionsMenu
leak-388: ActivityTimes.onOptionsItemSelected
leak-389: ActivityTimes.onOptionsItemSelected
leak-390: ActivityTimes.onCreateContextMenu
leak-391: ActivityTimes.onContextItemSelected
leak-392: ActivityTimes.onClick
leak-393: ActivityTimes.onCreateDialog
leak-394: TimesAdapter.TimesAdapter
leak-395: TimesAdapter.areAllItemsEnabled
leak-396: TimesAdapter.isEnabled
leak-397: TimesAdapter.close
leak-398: TimesAdapter.deleteTimeRange
leak-399: TimesAdapter.deleteTimeRange
leak-400: TimesAdapter.deleteTimeRange
leak-401: TimesAdapter.deleteTimeRange
leak-402: TimesAdapter.deleteTimeRange
leak-403: TimesAdapter.loadTimes
leak-404: TimesAdapter.loadTimes
leak-405: TimesAdapter.loadTimes
leak-406: TimesAdapter.loadTimes
leak-407: TimesAdapter.loadTimes
leak-408: TimesAdapter.getView
leak-409: TimesAdapter.getView
leak-410: TimesAdapter.getView
leak-411: TimesAdapter.getView
leak-412: TimesAdapter.getView
leak-413: TimesAdapter.getView
leak-414: TimesAdapter.getView
leak-415: TimesAdapter.getCount
leak-416: TimesAdapter.getItem
leak-417: TimesAdapter.getItemId
leak-418: TimesAdapter.assignTimeToActivityAt
leak-419: TimesAdapter.assignTimeToActivityAt
leak-420: TimesAdapter.assignTimeToActivityAt
leak-421: TimesAdapter.assignTimeToActivityAt
leak-422: TimesAdapter.assignTimeToActivityAt
leak-423: TimesAdapter.assignTimeToActivityAt
leak-424: TimesAdapter.assignTimeToActivityAt
leak-425: TimeView.TimeView
leak-426: TimeView.setTimeRange
leak-427: TimesAdapter.clear
leak-428: TimesAdapter.addTimeRange
leak-429: TimesAdapter.insert
leak-430: TimesAdapter.insert
leak-431: TimesAdapter.insert
leak-432: TimesAdapter.insert
leak-433: TimesAdapter.insert
leak-434: TimesAdapter.insert
leak-435: TimesAdapter.startOfDay
leak-436: TimesAdapter.addSeparators
leak-437: TimesAdapter.addSeparators
leak-438: TimesAdapter.addSeparators
leak-439: TimesAdapter.updateTimeRange
leak-440: TimesAdapter.updateTimeRange
leak-441: TimesAdapter.updateTimeRange
leak-442: TimesAdapter.updateTimeRange
leak-443: TimesAdapter.updateTimeRange
leak-444: TimesAdapter.getActivityNames
leak-445: ActivityTimes.onActivityResult
leak-446: ActivityTimes.onActivityResult
leak-447: ActivityTimes.onListItemClick
leak-448: ActivityTimes.onListItemClick
