/home/amit/muse/output/device-explorer/schemas/REACHABILITY/device-explorer
leak-169: CamerasItem.getContents
leak-170: CamerasItem.getContents
leak-171: <DisplayMetricsItem.<init>>
leak-172: DisplayMetricsItem.DisplayMetricsItem
leak-173: DisplayMetricsItem.getDetailedItems
leak-174: DisplayMetricsItem.getContents
leak-175: <StorageItem.<init>>
leak-176: StorageItem.StorageItem
leak-177: StorageItem.getDetailedItems
leak-178: StorageItem.getContents
leak-179: StorageItem.formatStorage
leak-180: Content.readFile
leak-181: Content.readFile
leak-182: Content.readFile
leak-183: Content.readFile
leak-184: Content.readFile
leak-185: Content.readFile
leak-186: Content.init
leak-187: Content.formatFileSize
In file: ProcessorManager.java
Input operator: REACHABILITY
leak-188: <ProcessorManager.<init>>
leak-189: ProcessorManager.ProcessorManager
leak-190: ProcessorManager.ProcessorManager
leak-191: ProcessorManager.ProcessorManager
leak-192: ProcessorManager.getUsage
leak-193: ProcessorManager.getUsage
leak-194: ProcessorManager.getUsage
leak-195: ProcessorManager.getUsage
leak-196: ProcessorManager.getUsage
leak-197: ProcessorManager.getUsage
leak-198: ProcessorManager.destroy
leak-199: ProcessorManager.destroy
leak-200: ProcessorManager.destroy
leak-201: ProcessorManager.destroy
In file: RecyclerItemClickListener.java
Input operator: REACHABILITY
leak-202: <RecyclerItemClickListener.<init>>
leak-203: RecyclerItemClickListener.RecyclerItemClickListener
leak-204: <1.<init>>
leak-205: 1.onSingleTapUp
leak-206: RecyclerItemClickListener.onInterceptTouchEvent
leak-207: RecyclerItemClickListener.onInterceptTouchEvent
leak-208: RecyclerItemClickListener.onTouchEvent
leak-209: RecyclerItemClickListener.onRequestDisallowInterceptTouchEvent
In file: FrequencyManager.java
Input operator: REACHABILITY
leak-210: <FrequencyManager.<init>>
leak-211: FrequencyManager.FrequencyManager
leak-212: FrequencyManager.FrequencyManager
leak-213: FrequencyManager.FrequencyManager
leak-214: FrequencyManager.getFrequency
leak-215: FrequencyManager.getFrequency
leak-216: FrequencyManager.getFrequency
leak-217: FrequencyManager.getFrequency
leak-218: FrequencyManager.destroy
leak-219: FrequencyManager.destroy
leak-220: FrequencyManager.destroy
leak-221: FrequencyManager.destroy
In file: Fragment_RVAdapter.java
Input operator: REACHABILITY
leak-222: <Fragment_RVAdapter.<init>>
leak-223: Fragment_RVAdapter.Fragment_RVAdapter
leak-224: Fragment_RVAdapter.onBindViewHolder
leak-225: Fragment_RVAdapter.onCreateViewHolder
leak-226: Fragment_RVAdapter.getItemCount
leak-227: Fragment_RVAdapter.onAttachedToRecyclerView
leak-228: <ContentViewHolder.<init>>
leak-229: ContentViewHolder.ContentViewHolder
In file: ItemListFragment.java
Input operator: REACHABILITY
leak-230: <ItemListFragment.<init>>
leak-231: <1.<init>>
leak-232: 1.onItemSelected
leak-233: ItemListFragment.ItemListFragment
leak-234: ItemListFragment.onCreateView
leak-235: <1.<init>>
leak-236: 1.onItemClick
leak-237: ItemListFragment.onViewCreated
leak-238: ItemListFragment.onViewCreated
leak-239: ItemListFragment.onAttach
leak-240: ItemListFragment.onAttach
leak-241: ItemListFragment.onDetach
leak-242: ItemListFragment.onListItemClick
leak-243: ItemListFragment.onSaveInstanceState
leak-244: ItemListFragment.onSaveInstanceState
In file: ItemDetailFragment.java
Input operator: REACHABILITY
leak-245: <ItemDetailFragment.<init>>
leak-246: ItemDetailFragment.ItemDetailFragment
leak-247: ItemDetailFragment.onCreate
leak-248: ItemDetailFragment.onCreate
leak-249: ItemDetailFragment.onCreateView
