/home/amit/muse/output/android-timetracker/schemas/REACHABILITY/android-timetracker
In file: TimeRangeTest.java
leak-190: ActivityAdapter.getView
leak-191: Activities.onListItemClick
leak-192: Activities.onListItemClick
leak-193: Activities.onListItemClick
leak-194: Activities.onListItemClick
leak-195: Activities.onListItemClick
leak-196: Activities.onListItemClick
leak-197: Activities.onListItemClick
leak-198: Activities.onListItemClick
leak-199: Activities.onListItemClick
leak-200: Activities.onListItemClick
leak-201: Activities.onListItemClick
leak-202: Activities.onListItemClick
leak-203: Activities.onListItemClick
leak-204: Activities.onListItemClick
leak-205: Activities.onListItemClick
leak-206: Activities.onActivityResult
leak-207: Activities.onActivityResult
leak-208: Activities.onActivityResult
leak-209: Activities.onActivityResult
leak-210: Activities.onActivityResult
leak-211: Activities.onActivityResult
leak-212: Activities.onActivityResult
leak-213: Activities.onActivityResult
leak-214: Activities.onActivityResult
leak-215: Activities.onActivityResult
leak-216: Activities.onActivityResult
leak-217: Activities.onActivityResult
leak-218: Activities.finishedCopy
leak-219: Activities.finishedCopy
In file: Settings.java
Input operator: REACHABILITY
leak-220: <Settings.<init>>
leak-221: Settings.onCreate
leak-222: Settings.onCreate
leak-223: Settings.onCreate
leak-224: Settings.onCreate
leak-225: Settings.addBooleanPreference
leak-226: Settings.updateFontPrefs
leak-227: Settings.onListItemClick
leak-228: Settings.onListItemClick
leak-229: Settings.onListItemClick
leak-230: Settings.onListItemClick
leak-231: Settings.onListItemClick
leak-232: Settings.onClick
leak-233: Settings.onClick
leak-234: Settings.onClick
leak-235: Settings.onClick
leak-236: Settings.onClick
leak-237: Settings.onClick
leak-238: Settings.<init>
leak-239: Settings.<init>
leak-240: Settings.onCreateDialog
leak-241: <1.<init>>
leak-242: 1.onClick
leak-243: <1.<init>>
leak-244: 1.onClick
In file: DBBackup.java
Input operator: REACHABILITY
leak-245: <DBBackup.<init>>
leak-246: DBBackup.DBBackup
leak-247: DBBackup.doInBackground
leak-248: DBBackup.doInBackground
leak-249: DBBackup.doInBackground
leak-250: DBBackup.doInBackground
leak-251: DBBackup.doInBackground
leak-252: DBBackup.doInBackground
leak-253: DBBackup.onPostExecute
leak-254: DBBackup.onProgressUpdate
leak-255: DBBackup.onProgressUpdate
leak-256: DBBackup.onProgressUpdate
leak-257: DBBackup.onProgressUpdate
leak-258: DBBackup.onProgressUpdate
leak-259: DBBackup.onCancelled
leak-260: DBBackup.copyTimes
leak-261: DBBackup.copyTimes
leak-262: DBBackup.copyTimes
leak-263: DBBackup.copyTimes
leak-264: DBBackup.copyTimes
leak-265: DBBackup.copyTimes
leak-266: DBBackup.copyTimes
leak-267: DBBackup.copyTimes
leak-268: DBBackup.copyTimes
leak-269: DBBackup.copyTimes
leak-270: DBBackup.copyActivity
leak-271: DBBackup.copyActivity
leak-272: DBBackup.readActivities
leak-273: DBBackup.readActivities
leak-274: DBBackup.readActivities
In file: DBHelper.java
Input operator: REACHABILITY
leak-275: <DBHelper.<init>>
leak-276: DBHelper.DBHelper
leak-277: DBHelper.onCreate
leak-278: DBHelper.onUpgrade
leak-279: DBHelper.onUpgrade
leak-280: DBHelper.onUpgrade
In file: CSVExporter.java
Input operator: REACHABILITY
leak-281: <CSVExporter.<init>>
leak-282: CSVExporter.escape
leak-283: CSVExporter.escape
leak-284: CSVExporter.escape
leak-285: CSVExporter.exportRows
leak-286: CSVExporter.exportRows
leak-287: CSVExporter.exportRows
leak-288: CSVExporter.exportRows
leak-289: CSVExporter.exportRows
leak-290: CSVExporter.exportRows
leak-291: CSVExporter.exportRows
leak-292: CSVExporter.exportRows
leak-293: CSVExporter.exportRows
leak-294: CSVExporter.exportRows
leak-295: CSVExporter.exportRows
leak-296: CSVExporter.exportRows
leak-297: CSVExporter.exportRows
In file: Activity.java
Input operator: REACHABILITY
leak-298: <Activity.<init>>
leak-299: Activity.Activity
leak-300: Activity.getId
leak-301: Activity.getName
leak-302: Activity.setName
leak-303: Activity.getTotal
leak-304: Activity.getTotal
leak-305: Activity.setCollapsed
leak-306: Activity.getCollapsed
leak-307: Activity.start
leak-308: Activity.start
leak-309: Activity.stop
leak-310: Activity.stop
leak-311: Activity.getStartTime
leak-312: Activity.setStartTime
leak-313: Activity.getEndTime
leak-314: Activity.setEndTime
leak-315: Activity.hashCode
leak-316: Activity.equals
leak-317: Activity.equals
leak-318: Activity.equals
leak-319: Activity.equals
leak-320: Activity.compareTo
leak-321: Activity.isRunning
In file: Report.java
Input operator: REACHABILITY
leak-322: <Report.<init>>
leak-323: Report.Day
leak-324: Report.fromCalEnum
leak-325: Report.fromCalEnum
leak-326: Report.fromCalEnum
leak-327: Report.toString
leak-328: Report.calEnum
leak-329: Report.onCreate
